codigo_municipio,numero_escolas,nome_municipio_censo,sigla_uf_censo,codigo_uf_censo,pct_escolas_urbanas,pct_escolas_rurais,pct_escolas_federais,pct_escolas_estaduais,pct_escolas_municipais,pct_escolas_privadas,pct_escolas_internet,pct_escolas_banda_larga,pct_escolas_biblioteca,pct_escolas_sala_leitura,pct_escolas_biblioteca_ou_sala_leitura,pct_escolas_lab_informatica,pct_escolas_agua_potavel,pct_escolas_agua_rede_publica,pct_escolas_energia_rede_publica,pct_escolas_esgoto_rede_publica,pct_escolas_coleta_lixo,pct_escolas_quadra_esportes,pct_escolas_patio_coberto,pct_escolas_patio_descoberto,pct_escolas_refeitorio,pct_escolas_auditorio,media_salas_utilizadas,media_equip_multimidia,media_desktop_aluno,media_notebook_aluno,media_tablet_aluno
3303005,68,Miracema,RJ,33,51.470588235294116,48.529411764705884,0.0,13.23529411764706,76.47058823529412,10.294117647058822,94.28571428571428,96.96969696969697,42.857142857142854,51.42857142857142,62.857142857142854,34.285714285714285,100.0,94.28571428571428,100.0,91.42857142857143,97.14285714285714,48.57142857142857,42.857142857142854,77.14285714285715,65.71428571428571,28.57142857142857,7.685714285714286,0.9142857142857143,2.7714285714285714,4.571428571428571,0.11428571428571428
3303104,53,Natividade,RJ,33,47.16981132075472,52.83018867924528,0.0,39.62264150943396,50.943396226415096,9.433962264150944,100.0,100.0,45.0,60.0,80.0,40.0,100.0,95.0,100.0,100.0,100.0,45.0,55.00000000000001,95.0,85.0,25.0,8.9,1.35,2.6,8.0,0.5
3303203,129,Nilópolis,RJ,33,100.0,0.0,0.7751937984496124,10.077519379844961,28.68217054263566,60.46511627906976,95.41284403669725,98.07692307692307,46.788990825688074,60.550458715596335,82.56880733944955,53.21100917431193,100.0,98.1651376146789,99.08256880733946,99.08256880733946,100.0,59.63302752293578,81.65137614678899,50.45871559633027,61.46788990825688,29.357798165137616,10.596330275229358,816.8348623853211,10.440366972477063,1.9357798165137614,0.1926605504587156
3303302,367,Niterói,RJ,33,100.0,0.0,0.8174386920980926,13.35149863760218,25.61307901907357,60.217983651226156,98.29059829059828,97.97101449275362,50.427350427350426,59.82905982905983,79.77207977207978,37.03703703703704,99.71509971509973,99.43019943019942,99.71509971509973,97.72079772079772,99.43019943019942,60.68376068376068,77.20797720797721,74.35897435897436,78.34757834757835,26.495726495726498,11.58974358974359,509.54985754985756,6.615384615384615,4.621082621082621,1.586894586894587
3303401,213,Nova Friburgo,RJ,33,74.64788732394366,25.352112676056336,0.4694835680751174,13.145539906103288,57.74647887323944,28.638497652582164,100.0,96.96969696969697,41.41414141414141,48.484848484848484,69.1919191919192,29.292929292929294,96.96969696969697,82.82828282828282,100.0,79.29292929292929,99.4949494949495,35.858585858585855,54.04040404040404,78.78787878787878,76.26262626262627,18.181818181818183,8.48989898989899,450.989898989899,453.449494949495,7.474747474747475,0.45454545454545453
3303500,528,Nova Iguaçu,RJ,33,96.02272727272727,3.977272727272727,0.1893939393939394,15.909090909090908,27.46212121212121,56.439393939393945,97.16599190283401,92.91666666666667,62.34817813765182,58.097165991902834,85.02024291497976,40.2834008097166,99.59514170040485,88.05668016194332,99.39271255060729,95.34412955465586,99.79757085020243,65.58704453441295,74.89878542510121,62.75303643724697,58.70445344129555,26.518218623481783,10.321862348178138,2.0566801619433197,4.746963562753036,5.3785425101214575,0.6497975708502024
3303609,43,Paracambi,RJ,33,81.3953488372093,18.6046511627907,2.3255813953488373,11.627906976744185,53.48837209302325,32.55813953488372,100.0,97.43589743589743,74.35897435897436,56.41025641025641,89.74358974358975,58.97435897435898,100.0,89.74358974358975,100.0,89.74358974358975,97.43589743589743,35.8974358974359,64.1025641025641,66.66666666666666,64.1025641025641,25.64102564102564,8.846153846153847,2281.2820512820513,7.3076923076923075,3.0,0.9487179487179487
3303708,40,Paraíba do Sul,RJ,33,85.0,15.0,0.0,12.5,80.0,7.5,100.0,100.0,35.13513513513514,43.24324324324324,56.75675675675676,37.83783783783784,100.0,94.5945945945946,100.0,86.48648648648648,100.0,48.64864864864865,24.324324324324326,94.5945945945946,100.0,5.405405405405405,8.18918918918919,1.2432432432432432,3.675675675675676,12.945945945945946,38.810810810810814
3303807,68,Paraty,RJ,33,33.82352941176471,66.17647058823529,0.0,7.352941176470589,75.0,17.647058823529413,66.66666666666666,88.23529411764706,47.05882352941176,23.52941176470588,58.82352941176471,23.52941176470588,100.0,70.58823529411765,98.0392156862745,27.450980392156865,100.0,35.294117647058826,41.17647058823529,62.745098039215684,70.58823529411765,23.52941176470588,7.588235294117647,0.8627450980392157,3.5294117647058822,1.9803921568627452,0.21568627450980393
3303856,29,Paty do Alferes,RJ,33,55.172413793103445,44.827586206896555,0.0,10.344827586206897,79.3103448275862,10.344827586206897,100.0,77.77777777777779,33.33333333333333,29.629629629629626,59.25925925925925,59.25925925925925,25.925925925925924,74.07407407407408,100.0,59.25925925925925,100.0,62.96296296296296,37.03703703703704,96.29629629629629,100.0,7.4074074074074066,7.925925925925926,1.2222222222222223,7.592592592592593,2.259259259259259,0.0
3303906,314,Petrópolis,RJ,33,90.44585987261146,9.554140127388536,0.3184713375796179,4.140127388535031,59.87261146496815,35.6687898089172,99.64539007092199,98.22064056939502,24.822695035460992,58.86524822695035,67.37588652482269,32.97872340425532,99.29078014184397,89.36170212765957,99.64539007092199,89.00709219858156,99.64539007092199,40.0709219858156,55.319148936170215,79.7872340425532,91.13475177304964,16.666666666666664,9.25886524822695,632.1808510638298,319.5354609929078,320.8014184397163,0.9326241134751773
3303955,32,Pinheiral,RJ,33,90.625,9.375,3.125,6.25,62.5,28.125,100.0,93.54838709677419,29.03225806451613,29.03225806451613,45.16129032258064,54.83870967741935,100.0,100.0,100.0,96.7741935483871,100.0,45.16129032258064,67.74193548387096,64.51612903225806,80.64516129032258,16.129032258064516,7.548387096774194,2868.1290322580644,9.580645161290322,1.4838709677419355,1.1935483870967742
3304003,41,Piraí,RJ,33,60.97560975609756,39.02439024390244,0.0,12.195121951219512,75.60975609756098,12.195121951219512,100.0,96.66666666666667,46.666666666666664,53.333333333333336,76.66666666666667,26.666666666666668,100.0,93.33333333333333,100.0,93.33333333333333,100.0,56.666666666666664,76.66666666666667,96.66666666666667,86.66666666666667,20.0,8.733333333333333,1.2666666666666666,2.9,2.3333333333333335,0.23333333333333334
3304102,48,Porciúncula,RJ,33,37.5,62.5,0.0,31.25,62.5,6.25,94.73684210526315,88.88888888888889,42.10526315789473,52.63157894736842,73.68421052631578,47.368421052631575,100.0,73.68421052631578,100.0,73.68421052631578,78.94736842105263,26.31578947368421,89.47368421052632,84.21052631578947,73.68421052631578,15.789473684210526,8.526315789473685,1.0526315789473684,5.947368421052632,5.0,0.10526315789473684
3304110,16,Porto Real,RJ,33,100.0,0.0,0.0,6.25,81.25,12.5,100.0,93.33333333333333,33.33333333333333,80.0,86.66666666666667,66.66666666666666,73.33333333333333,100.0,100.0,100.0,100.0,40.0,53.333333333333336,66.66666666666666,73.33333333333333,13.333333333333334,10.0,1.2,6.6,1.6,0.8
3304128,15,Quatis,RJ,33,86.66666666666667,13.333333333333334,0.0,6.666666666666667,86.66666666666667,6.666666666666667,100.0,50.0,42.857142857142854,42.857142857142854,71.42857142857143,35.714285714285715,100.0,92.85714285714286,100.0,92.85714285714286,100.0,42.857142857142854,35.714285714285715,64.28571428571429,78.57142857142857,21.428571428571427,7.714285714285714,0.6428571428571429,1.1428571428571428,3.0,0.14285714285714285
3304144,78,Queimados,RJ,33,94.87179487179486,5.128205128205128,0.0,16.666666666666664,47.43589743589743,35.8974358974359,90.14084507042254,95.3125,43.66197183098591,57.74647887323944,76.05633802816901,30.985915492957744,100.0,97.1830985915493,100.0,95.77464788732394,100.0,63.38028169014085,74.64788732394366,63.38028169014085,67.6056338028169,25.352112676056336,12.028169014084508,1.7183098591549295,5.887323943661972,6.098591549295775,1294.225352112676
3304151,23,Quissamã,RJ,33,78.26086956521739,21.73913043478261,4.3478260869565215,13.043478260869565,73.91304347826086,8.695652173913043,100.0,90.47619047619048,47.61904761904761,19.047619047619047,52.38095238095239,47.61904761904761,100.0,85.71428571428571,100.0,90.47619047619048,100.0,47.61904761904761,47.61904761904761,76.19047619047619,76.19047619047619,33.33333333333333,10.904761904761905,4234.047619047619,10.19047619047619,6.380952380952381,18.523809523809526
3304201,120,Resende,RJ,33,88.33333333333333,11.666666666666666,0.8333333333333334,13.333333333333334,55.00000000000001,30.833333333333336,100.0,100.0,35.45454545454545,48.18181818181818,62.727272727272734,50.90909090909091,100.0,95.45454545454545,100.0,93.63636363636364,100.0,49.09090909090909,80.9090909090909,78.18181818181819,86.36363636363636,26.36363636363636,10.772727272727273,3.2636363636363637,8.063636363636364,4.7727272727272725,10.836363636363636
3304300,68,Rio Bonito,RJ,33,48.529411764705884,51.470588235294116,0.0,10.294117647058822,76.47058823529412,13.23529411764706,94.44444444444444,98.0392156862745,31.48148148148148,55.55555555555556,62.96296296296296,50.0,100.0,57.407407407407405,100.0,70.37037037037037,98.14814814814815,38.88888888888889,55.55555555555556,59.25925925925925,70.37037037037037,18.51851851851852,8.407407407407407,1.0555555555555556,3.1296296296296298,2.8703703703703702,30.333333333333332
