ano_avaliacao,codigo_uf,sigla_uf,codigo_municipio,nome_municipio,rede,pct_alfabetizados_2023,pct_alfabetizados_2024,variacao_2023_2024_pp,meta_2024,gap_meta_2024_pp,atingiu_meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,nivel_alfabetizacao,pct_participacao,ranking_amostra_brasil_2024,ranking_amostra_uf_2024
2024.0,21.0,MA,2107258.0,Nova Colinas,MUNICIPAL,85.7,77.14,-8.560000000000002,80.0,-2.8599999999999994,0,80.0,80.0,80.0,80.0,80.0,80.0,4,100.0,1293,42
2024.0,35.0,SP,3537800.0,Piedade,MUNICIPAL,58.6,63.25,4.649999999999999,62.12,1.1300000000000026,1,65.55,68.83,71.92,74.82,77.52,80.0,3,94.3854324734446,2574,274
2024.0,29.0,BA,2920502.0,Maracás,MUNICIPAL,52.5,43.58,-8.920000000000002,57.02,-13.440000000000005,0,61.46,65.72,69.73,73.47,76.89,80.0,1,77.15517241379311,4084,91
2024.0,23.0,CE,2305902.0,Ipueiras,MUNICIPAL,97.9,99.54,1.6400000000000006,80.0,19.540000000000006,1,80.0,80.0,80.0,80.0,80.0,80.0,5,100.0,54,12
2024.0,31.0,MG,3139904.0,Maria da Fé,MUNICIPAL,61.0,78.16,17.159999999999997,64.13,14.030000000000001,1,67.16,70.05,72.78,75.36,77.77,80.0,4,95.13888888888889,1183,319
2024.0,31.0,MG,3133006.0,Itamonte,MUNICIPAL,57.6,81.86,24.259999999999998,61.31,20.549999999999997,1,64.9,68.33,71.57,74.6,77.42,80.0,5,88.05970149253731,895,233
2024.0,21.0,MA,2106102.0,Loreto,MUNICIPAL,38.8,66.12,27.320000000000007,45.2,20.92,1,51.76,58.27,64.49,70.27,75.46,80.0,3,92.80575539568343,2306,88
2024.0,33.0,RJ,3303807.0,Paraty,MUNICIPAL,50.7,48.89,-1.8100000000000023,55.55,-6.659999999999997,0,60.27,64.81,69.09,73.08,76.72,80.0,1,74.64028776978418,3719,69
2024.0,29.0,BA,2903706.0,Boa Nova,MUNICIPAL,44.2,46.51,2.309999999999995,49.97,-3.460000000000001,0,55.73,61.34,66.66,71.58,76.04,80.0,1,96.26865671641792,3890,68
2024.0,35.0,SP,3541000.0,Praia Grande,MUNICIPAL,50.7,51.25,0.5499999999999972,55.55,-4.299999999999997,0,60.28,64.81,69.1,73.08,76.72,80.0,2,83.0603448275862,3552,474
2024.0,43.0,RS,4316303.0,Roque Gonzales,MUNICIPAL,75.7,76.0,0.29999999999999716,76.36,-0.35999999999999943,0,77.0,77.62,78.23,78.84,79.42,80.0,4,85.71428571428571,1411,34
2024.0,42.0,SC,4207700.0,Ipumirim,MUNICIPAL,54.0,62.84,8.840000000000003,58.28,4.560000000000002,1,62.47,66.48,70.27,73.8,77.05,80.0,3,89.32038834951457,2603,175
2024.0,26.0,PE,2616183.0,Vertente do Lério,MUNICIPAL,83.7,82.94,-0.7600000000000051,80.0,2.9399999999999977,1,80.0,80.0,80.0,80.0,80.0,80.0,5,96.42857142857144,806,26
2024.0,31.0,MG,3106002.0,Bela Vista de Minas,MUNICIPAL,63.8,73.62,9.820000000000007,66.46,7.160000000000011,1,69.02,71.46,73.79,75.99,78.06,80.0,4,94.6236559139785,1632,441
2024.0,21.0,MA,2112852.0,Vila Nova dos Martírios,MUNICIPAL,86.1,74.55,-11.549999999999997,80.0,-5.450000000000003,0,80.0,80.0,80.0,80.0,80.0,80.0,4,93.82022471910112,1550,52
2024.0,52.0,GO,5207907.0,Flores de Goiás,MUNICIPAL,66.8,65.41,-1.3900000000000006,68.9,-3.490000000000009,0,70.97,72.96,74.85,76.66,78.38,80.0,3,89.6103896103896,2364,199
2024.0,23.0,CE,2307502.0,Lavras da Mangabeira,MUNICIPAL,75.4,74.29,-1.1099999999999994,76.08,-1.789999999999992,0,76.77,77.44,78.1,78.75,79.38,80.0,4,99.19028340080972,1574,160
2024.0,43.0,RS,4306320.0,Derrubadas,MUNICIPAL,49.7,80.0,30.299999999999997,54.69,25.310000000000002,1,59.58,64.28,68.72,72.85,76.61,80.0,5,100.0,1035,23
2024.0,32.0,ES,3202108.0,Ecoporanga,MUNICIPAL,69.2,94.7,25.5,70.94,23.760000000000005,1,72.6,74.21,75.75,77.23,78.65,80.0,5,92.2680412371134,213,3
2024.0,27.0,AL,2707107.0,Piranhas,MUNICIPAL,24.7,25.08,0.379999999999999,31.96,-6.880000000000003,0,40.17,48.96,57.82,66.2,73.68,80.0,0,92.82178217821784,4868,91
2024.0,31.0,MG,3107000.0,Biquinhas,MUNICIPAL,88.0,58.22,-29.78,80.0,-21.78,0,80.0,80.0,80.0,80.0,80.0,80.0,2,85.29411764705883,2996,695
2024.0,43.0,RS,4319604.0,São Sepé,MUNICIPAL,82.3,49.7,-32.599999999999994,80.0,-30.299999999999997,0,80.0,80.0,80.0,80.0,80.0,80.0,1,84.9624060150376,3662,224
2024.0,31.0,MG,3146909.0,Papagaios,MUNICIPAL,47.1,88.48,41.38,52.46,36.02,1,57.77,62.9,67.75,72.25,76.34,80.0,5,87.94326241134752,465,96
2024.0,15.0,PA,1501758.0,Brejo Grande do Araguaia,MUNICIPAL,61.6,75.7,14.100000000000001,64.62,11.079999999999998,1,67.55,70.34,72.99,75.49,77.83,80.0,4,89.2156862745098,1443,3
2024.0,31.0,MG,3111309.0,Campo do Meio,MUNICIPAL,67.5,76.54,9.040000000000006,69.55,6.990000000000009,1,71.49,73.36,75.14,76.84,78.46,80.0,4,83.9622641509434,1357,368
2024.0,43.0,RS,4316105.0,Ronda Alta,MUNICIPAL,75.3,53.7,-21.599999999999994,76.01,-22.310000000000002,0,76.71,77.4,78.07,78.73,79.37,80.0,2,92.06349206349206,3373,183
2024.0,43.0,RS,4309506.0,Guarani das Missões,MUNICIPAL,70.4,67.5,-2.9000000000000057,71.9,-4.400000000000006,0,73.38,74.81,76.19,77.51,78.78,80.0,3,90.19607843137256,2196,72
2024.0,24.0,RN,2403756.0,Fernando Pedroza,MUNICIPAL,32.8,58.82,26.020000000000003,39.77,19.049999999999997,1,47.13,54.62,61.91,68.69,74.76,80.0,2,94.44444444444444,2942,21
2024.0,43.0,RS,4322806.0,Veranópolis,MUNICIPAL,77.1,57.0,-20.099999999999994,77.57,-20.569999999999993,0,77.99,78.4,78.81,79.21,79.61,80.0,2,91.55555555555556,3095,154
2024.0,31.0,MG,3113602.0,Careaçu,MUNICIPAL,97.4,74.18,-23.22,80.0,-5.819999999999993,0,80.0,80.0,80.0,80.0,80.0,80.0,4,98.59154929577466,1582,427
2024.0,43.0,RS,4306452.0,Dois Lajeados,MUNICIPAL,91.2,53.0,-38.2,80.0,-27.0,0,80.0,80.0,80.0,80.0,80.0,80.0,2,90.0,3423,191
2024.0,17.0,TO,1700251.0,Abreulândia,MUNICIPAL,62.1,75.0,12.899999999999999,65.03,9.969999999999999,1,67.87,70.59,73.17,75.6,77.88,80.0,4,87.5,1497,4
2024.0,23.0,CE,2304707.0,Granja,MUNICIPAL,93.3,97.78,4.480000000000004,80.0,17.78,1,80.0,80.0,80.0,80.0,80.0,80.0,5,99.85207100591715,100,46
2024.0,31.0,MG,3165701.0,Senador Firmino,MUNICIPAL,66.3,91.79,25.49000000000001,68.56,23.230000000000004,1,70.7,72.75,74.71,76.57,78.33,80.0,5,98.83720930232558,319,51
2024.0,31.0,MG,3151107.0,Pirapetinga,MUNICIPAL,62.7,66.15,3.450000000000003,65.52,0.6300000000000097,1,68.27,70.89,73.38,75.74,77.94,80.0,3,92.23300970873788,2304,597
2024.0,43.0,RS,4322251.0,Tupandi,MUNICIPAL,82.0,55.1,-26.9,80.0,-24.9,0,80.0,80.0,80.0,80.0,80.0,80.0,2,90.14084507042254,3255,170
2024.0,43.0,RS,4323507.0,Vista Alegre,MUNICIPAL,90.0,33.3,-56.7,80.0,-46.7,0,80.0,80.0,80.0,80.0,80.0,80.0,0,90.0,4621,380
2024.0,41.0,PR,4107603.0,Faxinal,MUNICIPAL,83.4,71.76,-11.64,80.0,-8.239999999999995,0,80.0,80.0,80.0,80.0,80.0,80.0,4,93.80530973451329,1788,234
2024.0,42.0,SC,4219002.0,Urussanga,MUNICIPAL,68.9,71.86,2.9599999999999937,70.65,1.2099999999999937,1,72.37,74.03,75.63,77.15,78.61,80.0,4,88.52459016393442,1779,107
2024.0,41.0,PR,4101051.0,Anahy,MUNICIPAL,62.4,69.97,7.57,65.3,4.670000000000002,1,68.09,70.76,73.29,75.67,77.91,80.0,3,76.74418604651163,1963,258
2024.0,23.0,CE,2305407.0,Icó,MUNICIPAL,80.1,75.41,-4.689999999999998,80.0,-4.590000000000003,0,80.0,80.0,80.0,80.0,80.0,80.0,4,98.38709677419357,1460,156
2024.0,31.0,MG,3116803.0,Coluna,MUNICIPAL,64.1,91.21,27.11,66.67,24.539999999999992,1,69.19,71.59,73.88,76.05,78.09,80.0,5,93.90243902439023,349,57
2024.0,42.0,SC,4206801.0,Ibicaré,MUNICIPAL,75.7,54.41,-21.290000000000006,76.34,-21.930000000000007,0,76.98,77.61,78.23,78.83,79.42,80.0,2,83.33333333333334,3314,215
2024.0,51.0,MT,5103908.0,General Carneiro,MUNICIPAL,89.1,71.41,-17.689999999999998,80.0,-8.590000000000003,0,80.0,80.0,80.0,80.0,80.0,80.0,4,89.74358974358975,1814,45
2024.0,27.0,AL,2708600.0,São Miguel dos Campos,MUNICIPAL,50.1,57.17,7.07,55.0,2.1700000000000017,1,59.83,64.47,68.86,72.93,76.65,80.0,2,92.61083743842364,3077,27
2024.0,51.0,MT,5106802.0,Porto dos Gaúchos,MUNICIPAL,75.6,74.29,-1.309999999999988,76.25,-1.9599999999999937,0,76.91,77.55,78.18,78.8,79.41,80.0,4,86.02150537634408,1574,37
2024.0,41.0,PR,4116703.0,Nova Aurora,MUNICIPAL,82.3,74.99,-7.310000000000002,80.0,-5.010000000000005,0,80.0,80.0,80.0,80.0,80.0,80.0,4,92.19858156028369,1518,180
2024.0,35.0,SP,3536604.0,Paulo de Faria,MUNICIPAL,50.4,80.89,30.490000000000002,55.24,25.65,1,60.02,64.62,68.96,72.99,76.68,80.0,5,89.55223880597015,970,75
2024.0,52.0,GO,5212808.0,Mara Rosa,MUNICIPAL,69.6,87.78,18.180000000000007,71.26,16.519999999999996,1,72.86,74.41,75.9,77.33,78.69,80.0,5,94.24460431654676,504,53
2024.0,42.0,SC,4202909.0,Brusque,MUNICIPAL,68.7,67.18,-1.519999999999996,70.5,-3.319999999999993,0,72.25,73.94,75.56,77.11,78.59,80.0,3,74.30865298840321,2220,148
2024.0,23.0,CE,2308906.0,Morrinhos,MUNICIPAL,98.9,97.77,-1.1300000000000097,80.0,17.769999999999996,1,80.0,80.0,80.0,80.0,80.0,80.0,5,100.0,101,47
