codigo_uf,sigla_uf,codigo_municipio,nome_municipio,pct_alfabetizados,ano
15.0,PA,1505064.0,Novo Repartimento,55.6,2023
15.0,PA,1505064.0,Novo Repartimento,47.88,2024
15.0,PA,1505106.0,Óbidos,48.8,2023
15.0,PA,1505106.0,Óbidos,53.98,2024
15.0,PA,1505205.0,Oeiras do Pará,18.5,2023
15.0,PA,1505205.0,Oeiras do Pará,31.03,2024
15.0,PA,1505304.0,Oriximiná,34.5,2023
15.0,PA,1505304.0,Oriximiná,30.61,2024
15.0,PA,1505403.0,Ourém,48.5,2023
15.0,PA,1505403.0,Ourém,56.24,2024
15.0,PA,1505437.0,Ourilândia do Norte,48.7,2023
15.0,PA,1505437.0,Ourilândia do Norte,53.11,2024
15.0,PA,1505486.0,Pacajá,37.3,2023
15.0,PA,1505486.0,Pacajá,45.49,2024
15.0,PA,1505494.0,Palestina do Pará,33.8,2023
15.0,PA,1505494.0,Palestina do Pará,44.75,2024
15.0,PA,1505502.0,Paragominas,62.5,2023
15.0,PA,1505502.0,Paragominas,56.72,2024
15.0,PA,1505536.0,Parauapebas,54.3,2023
15.0,PA,1505536.0,Parauapebas,49.49,2024
15.0,PA,1505551.0,Pau D'Arco,50.7,2023
15.0,PA,1505551.0,Pau D'Arco,48.91,2024
15.0,PA,1505601.0,Peixe-Boi,53.8,2023
15.0,PA,1505601.0,Peixe-Boi,84.31,2024
15.0,PA,1505635.0,Piçarra,58.3,2023
15.0,PA,1505635.0,Piçarra,57.18,2024
15.0,PA,1505650.0,Placas,,2023
15.0,PA,1505650.0,Placas,55.72,2024
15.0,PA,1505700.0,Ponta de Pedras,38.7,2023
15.0,PA,1505700.0,Ponta de Pedras,57.13,2024
15.0,PA,1505809.0,Portel,43.7,2023
15.0,PA,1505809.0,Portel,40.72,2024
15.0,PA,1506005.0,Prainha,57.3,2023
15.0,PA,1506005.0,Prainha,43.28,2024
15.0,PA,1506104.0,Primavera,49.0,2023
15.0,PA,1506104.0,Primavera,49.94,2024
15.0,PA,1506112.0,Quatipuru,48.9,2023
15.0,PA,1506112.0,Quatipuru,47.3,2024
15.0,PA,1506138.0,Redenção,55.1,2023
15.0,PA,1506138.0,Redenção,58.25,2024
15.0,PA,1506161.0,Rio Maria,41.8,2023
15.0,PA,1506161.0,Rio Maria,56.31,2024
15.0,PA,1506187.0,Rondon do Pará,60.2,2023
15.0,PA,1506187.0,Rondon do Pará,68.8,2024
15.0,PA,1506195.0,Rurópolis,58.0,2023
15.0,PA,1506195.0,Rurópolis,54.76,2024
15.0,PA,1506203.0,Salinópolis,43.3,2023
15.0,PA,1506203.0,Salinópolis,50.44,2024
15.0,PA,1506302.0,Salvaterra,52.0,2023
